name,rating ,reviewCount,category,address,website,phone,monday,tuesday,wednesday,thursday,friday,saturday,sunday,laditude,longitude,
Eurofarm,,,Pharmacy,Bulevar Partizanski Odredi 25/2,eurofarm.com.mk,+389 2 311 1410,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-2PM,41.9986875,21.4220625,
Eurofarm,4.5,2,Pharmacy,Skopje,eurofarm.com.mk,+389 2 311 1522,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,42.0028125,21.4009375,
Ambrozija Farm,5,1,Pharmacy,Bulevar Partizanski Odredi,,+389 2 322 4399,,,,,,,,42.0005625,21.4151875,
Inter-Evrogeneks Pharmaceutical Industry,5,1,Pharmacy,Nikola Vapcarov 20,interevrogeneks.com,+389 2 321 5800,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,41.9950625,21.4290625,
Eurofarm - Vero 2,4,3,Pharmacy,Mitropolit Teodosij Gologanov,eurofarm.com.mk,+389 3078677,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-2PM,41.9970625,21.4051875,
Viola Bunjakovec,4.5,4,Pharmacy,Partizanski odredi 29/5,viola.com.mk,+389 2 311 7814,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,8AM-10PM,Closed,41.9988125,21.4206875,
BILNA APTEKA & ZDRAVA HRANA,5,2,Pharmacy,29-ti Noemvri Centar,bio-herb.org,+389 78 255 369,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,42.0010625,21.4181875,
Pharmacy Zegin,4.5,2,Pharmacy,Skopje,,,10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,10AM-4PM,41.9975625,21.3975625,
Oskar Lek,4.5,8,Pharmacy,Bulevar Ilinden 48,oskarlek.mk,+389 2 313 2227,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,42.0008125,21.4263125,
Zegin Kapishtec,4.3,4,Pharmacy,Vasil Gjorgov Del 5-1 Kat 1,zegin.com.mk,+389 2 321 6519,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-4PM,41.9933125,21.4154375,
Lotos Pharm,,,Pharmacy,Bulevar Sveti Kliment Ohridski,,+389 2 321 3315,,,,,,,,41.9979375,21.4250625,
Viola Kapishtec,3.2,19,Pharmacy,Vasil Gjorgov 1,viola.com.mk,+389 2 315 1977,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Closed,41.9928125,21.4160625,
Zegin - Medika,3,9,Pharmacy,Naroden Front 5/4-2,zegin.com.mk,+389 2 321 5600,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-9PM,8AM-9PM,41.9928125,21.4204375,
Zegin - John Kennedy,4,5,Pharmacy,Skopje,zegin.com.mk,+389 2 261 8986,,,,,,,,42.0133125,21.4393125,
Zegin - Bit Pazar,4.8,5,Pharmacy,Skopje,zegin.com.mk,+389 2 329 8734,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-9PM,42.0024375,21.4394375,
Zegin - Kozle,4,4,Pharmacy,Kozle,zegin.com.mk,+389 2 307 1587,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-4PM,41.9949375,21.3944375,
Herba,,,Pharmacy,Skopje,,,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,Closed,8AM-8PM,10AM-5PM,42.0211875,21.4446875,
Zegin - Centar,,,Pharmacy,Dimitrija Chupovski,zegin.com.mk,+389 2 312 2225,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-4PM,41.9954375,21.4273125,
Makmedika,4.2,5,Pharmacy,Bulevar Partizanski Odredi 149,,+389 2 203 1082,8:30AM-9:30PM,8:30AM-9:30PM,8:30AM-9:30PM,8:30AM-9:30PM,8:30AM-9:30PM,8:30AM-9:30PM,9AM-1PM,42.0073125,21.3681875,
Zegin,4.3,11,Pharmacy,Bulevar Sveti Kliment Ohridski,zegin.com.mk,+389 2 311 8388,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,9AM-5PM,Closed,41.9995625,21.4265625,
Zegin - Gradska bolnica,4.6,5,Pharmacy,Skopje,zegin.com.mk,+389 2 313 6280,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,41.9929375,21.4343125,
Zegin - Moja Apteka,,,Pharmacy,Mitropolit Teodosij Gologanov,,,,,,,,,,41.9959375,21.4070625,
Varufarm Inter-Evrogenex,5,1,Pharmacy,Majka Tereza 18,interevrogeneks.com,+389 2 317 7922,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,41.9910625,21.4211875,
Moja apteka,,,Pharmacy,Skopje,,,,,,,,,,42.0278125,21.4054375,
Apteka Life Skopje,5,3,Pharmacy,Bulevar Kocho Racin 7,,+389 2 551 3555,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-6PM,Closed,41.9915625,21.4375625,
Zegin - GTC1,3,1,Pharmacy,Skopje,zegin.com.mk,+389 2 329 8980,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,8AM-6PM,Closed,41.9944375,21.4344375,
Biofit - Kozle,5,2,Pharmacy,Kozle 44,zk.mk,+389 2 308 2246,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-2PM,Closed,41.9940625,21.4009375,
Lafoma Alkaloid,5,1,Pharmacy,Skopje,,,,,,,,,,42.0125625,21.3655625,
Gea - Vodnjanska,,,Pharmacy,Elisie Popovski Marko 1,,,9AM-3PM,9AM-3PM,9AM-3PM,9AM-3PM,9AM-3PM,Closed,Closed,41.9904375,21.4205625,
Natural Company,,,Pharmacy,Dimitrie Chupovski 23,,,,,,,,,,41.9945625,21.4289375,
Galenium pharm,,,Pharmacy,Vasil Gjorgov,,,,,,,,,,41.9928125,21.4171875,
Viola - Centar,3.2,10,Pharmacy,Dimitrie Chupovski,viola.com.mk,+389 2 312 5155,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,8AM-10PM,Closed,41.9955625,21.4265625,
Zegin - Cvetan Dimov,1,1,Pharmacy,Cvetan Dimov,,,,,,,,,,42.0108125,21.4445625,
Herbal Pharmacy,4.5,13,Pharmacy,11-ti Oktomvri 46,alkaloid.com.mk,+389 2 323 7975,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,8AM-12PM,8AM-12PM,41.9885625,21.4359375,
Alpi Farm 1,5,1,Pharmacy,Vtora Makedonska Brigada,,,7:30AM-8PM,7:30AM-8PM,7:30AM-8PM,7:30AM-8PM,7:30AM-8PM,8AM-8PM,Closed,42.0226875,21.4330625,
Betty,,,Pharmacy,Mitropolit Teodosij Gologanov,,+389 2 322 0049,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-6PM,Closed,41.9951875,21.4230625,
Zegin - Vodno,4.3,4,Pharmacy,Vladimir Nazor,zegin.com.mk,+389 2 310 9228,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,8AM-9PM,41.9901875,21.4201875,
Zegin - Butel 1,4.3,10,Pharmacy,Aleksandar Urdarevski,zegin.com.mk,+389 2 263 8742,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-9PM,42.0320625,21.4450625,
Buharishop,,,Pharmacy,Cvetan Dimov 51,,+389 71 823 351,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,Closed,42.0103125,21.4439375,
Viola - Vodno,3,2,Pharmacy,Vodnjanska 28b,viola.com.mk,+389 2 317 6444,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,7:30AM-10PM,7:30AM-8PM,Closed,41.9899375,21.4196875,
Apteka Vita Farm,5,3,Pharmacy,John Kennedy 25,,+389 2 263 9000,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,42.0129375,21.4356875,
DNA Anni Farm - Hrom,4.8,20,Pharmacy,Isaija Mazovski 44,annifarm.mk,+389 2 204 4287,7AM-8PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-3PM,Closed,42.0064375,21.3678125,
Eurofarm - Ramstore,3.7,3,Pharmacy,Ulica Mito Hadzivasilev Jasmin,eurofarm.com.mk,+389 2 329 6114,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,41.9918125,21.4273125,
Eurofarm,,,Pharmacy,Bulevar Mitropolit Teodosij Gologanov 49,,,,,,,,,,41.9948125,21.4213125,
Eurofarm,4.5,8,Pharmacy,50-ta Devizija,eurofarm.com.mk,+389 2 310 7800,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,8AM-2PM,Closed,41.9903125,21.4254375,
Marija,,,Pharmacy,Gjorche Petrov,,+389 2 203 6508,,,,,,,,42.0064375,21.3520625,
Family Pharmacy,5,1,Pharmacy,Krste Arsenov 3,,,,,,,,,,42.0171875,21.4450625,
Eurofarm,4.8,6,Pharmacy,Mirce Acev 2,eurofarm.com.mk,+389 2 320 9696,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,41.9936875,21.4360625,
Datel Farma,,,Pharmacy,Blagoje Parovikj Stara Devetka,,+389 2 261 2536,,,,,,,,42.0159375,21.4344375,
Betty,2,1,Pharmacy,Bulevar Krste Petkov Misirkov 13,,,,,,,,,,42.0011875,21.4395625,
Eurofarm - Vero Centar,3.5,4,Pharmacy,Bulevar Kocho Racin,eurofarm.com.mk,+389 2 310 0400,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,41.9931875,21.4416875,
Berna Farm,3,2,Pharmacy,Cvetan Dimov,,,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,42.0121875,21.4453125,
Gold min 7,,,Pharmacy,Vtora Makedonska Brigada,,,,,,,,,,42.0220625,21.4368125,
Sara Farm,4.3,3,Pharmacy,Boris Trajkovski,m.facebook.com,+389 2 277 8709,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-6PM,Closed,41.9829375,21.4394375,
Eurofarm,4.3,3,Pharmacy,Anton Popov 5,eurofarm.com.mk,+389 2 551 4501,,,,,,,,41.9871875,21.4331875,
Zegin - Sv.Petka,4,4,Pharmacy,Boris Trajkovski,zegin.com.mk,+389 2 277 2086,7AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-4PM,41.9851875,21.4376875,
Eurofarm,,,Pharmacy,Maksim Gorki 8,aptekieurofarm.com.mk,+389 2 311 1522,8-9AM,8-9AM,8-9AM,8-9AM,8-9AM,8:30AM-8:30AM,Closed,41.9959375,21.4296875,
Zegin - Centar 2,5,1,Pharmacy,Bulevar Sveti Kliment Ohridski 63,zegin.com.mk,+389 2 312 5832,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-5PM,Closed,41.9953125,21.4248125,
Zemjodelska Apteka - Rampa Kisela Voda,5,2,Pharmacy,11-ti Oktomvri,,+389 75 458 086,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-4PM,8AM-4PM,41.9873125,21.4368125,
Eurofarm,4.5,2,Pharmacy,Skopje,eurofarm.com.mk,+389 2 322 1052,,,,,,,,41.9905625,21.4331875,
Zegin,3.7,13,Pharmacy,Bulevar Kuzman Josifovski Pitu,zegin.com.mk,+389 2 246 5556,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,41.9909375,21.4461875,
Zegin - Shuto Orizari,4.8,4,Pharmacy,Skopje,zegin.com.mk,+389 2 265 6679,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Closed,42.0408125,21.4240625,
Zegin - Gjorch?e Petrov 2,4.7,7,Pharmacy,Gjorche Petrov 60,zegin.com.mk,+389 2 203 7761,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-9PM,42.0065625,21.3556875,
Eurofarm,,,Pharmacy,11-ti Oktomvri,eurofarm.com.mk,+389 2 316 3202,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,41.9895625,21.4360625,
Zegin - Kisela Voda 1,4.3,7,Pharmacy,Boris Trajkovski,zegin.com.mk,+389 2 272 4174,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,41.9806875,21.4414375,
Biofit - Kisela Voda,5,3,Pharmacy,Vostanichka 48,,+389 2 273 5010,,,,,,,,41.9835625,21.4295625,
Apteka Artemizia,,,Pharmacy,Vidoe Smilevski Bato 9,,+389 2 243 0690,,,,,,,,41.9823125,21.4739375,
Zegin - Avtokomanda 1,4.5,8,Pharmacy,Jani Lukrovski 2,zegin.com.mk,+389 2 312 2060,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-9PM,42.0016875,21.4608125,
Viola 24/7,4.7,13,Pharmacy,Bulevar Jane Sandanski,viola.com.mk,+389 2 246 6103,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,41.9878125,21.4528125,
Eurolek,,,Pharmacy,Vizbegovo,,,8AM-4AM,8AM-4AM,8AM-4AM,8AM-4AM,8AM-4AM,Closed,Closed,42.0353125,21.4015625,
Zegin - MIA,4.2,11,Pharmacy,Bihacka,zegin.com.mk,,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-4PM,41.9869375,21.4308125,
Vivalek,3.5,8,Pharmacy,Skopje,,+389 2 261 7740,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-8PM,Closed,42.0115625,21.4594375,
Molika,,,Pharmacy,Arhitekt Nikola Dobrovik 1,,,,,,,,,,41.9790625,21.4449375,
Andrea Lek,5,1,Pharmacy,11-ti Oktomvri,,,,,,,,,,41.9873125,21.4368125,
Capa,,,Pharmacy,Boris Trajkovski 2,,,,,,,,,,41.9829375,21.4395625,
Zegin - Kisela Voda,3,1,Pharmacy,Ivan Kozarov,,,,,,,,,,41.9829375,21.4388125,
Datel Farma,,,Pharmacy,Vangel Todorovski 5,lm.facebook.com,+389 2 512 6554,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-8PM,9AM-2:30PM,41.9846875,21.4546875,
Zegin - Tobaco,4.9,7,Pharmacy,Bulevar Jane Sandanski,zegin.com.mk,+389 2 246 3239,7AM-12AM,7AM-12AM,7AM-12AM,7AM-12AM,7AM-12AM,8AM-12AM,8AM-10PM,41.9878125,21.4533125,
Aloe,,,Pharmacy,Gjorche Petrov 40,,+389 2 203 9915,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,8AM-9:30PM,9AM-3PM,42.0069375,21.3601875,
Zegin - Vlae,4.7,7,Pharmacy,Gjorche Petrov,zegin.com.mk,+389 2 306 4330,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,42.0071875,21.3681875,
Veterinary Hospital,4.1,98,Veterinary pharmacy,Skopje,,+389 2 311 5756,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,9AM-5PM,42.0033125,21.4594375,
Zegin,4,1,Pharmacy,Hristijan Todorovski,,,,,,,,,,42.0206875,21.4478125,
Eurofarm,,,Pharmacy,11-ti Oktomvri,eurofarm.com.mk,+389 2 322 1052,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-2PM,41.9919375,21.4339375,
Zegin - Kisela Voda 2,4.7,9,Pharmacy,Hristo Tatarchev,zegin.com.mk,+389 2 277 1559,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-9PM,41.9755625,21.4439375,
Lincura,5,1,Pharmacy,Skopje,,,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,Closed,Closed,41.9865625,21.4781875,
Makmedica,5,1,Pharmacy,Skopje,,+389 2031082,8:30AM-9:45PM,8AM-9:45PM,8AM-9:45PM,8AM-9:45PM,8AM-9:45PM,8AM-9:45PM,8:30AM-1:30PM,42.0071875,21.3688125,
Zegin - Capitol,4.5,2,Pharmacy,Skopje,zegin.com.mk,+389 2 245 5892,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,Closed,41.9869375,21.4668125,
Zegin - Novo Lisiche,4.3,6,Pharmacy,Skopje,zegin.com.mk,+389 2 240 3213,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-9PM,8AM-4PM,41.9820625,21.4736875,
Eurofarm - Volkovo,5,1,Pharmacy,Volkovo,,,8AM-8:30PM,8AM-8:30PM,8AM-8:30PM,8AM-8:30PM,8AM-8:30PM,8AM-8:30PM,8AM-2:30PM,42.0379375,21.3488125,
Zegin - Biser,4.8,4,Pharmacy,Bulevar Jane Sandanski 24 Lokal 6,zegin.com.mk,+389 2 240 3237,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-4PM,41.9870625,21.4626875,
Zegin - Dame Gruev,4.2,10,Pharmacy,Luka Gerov,zegin.com.mk,+389 2 205 0830,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,42.0164375,21.3570625,
Zegin - Aerodrom,4.7,6,Pharmacy,Bulevar Jane Sandanski 109/2,zegin.com.mk,+389 2 244 7722,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-9PM,41.9849375,21.4690625,
Medikon,,,Pharmacy,Boris Trajkovski 7,,+389 2 311 3176,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,41.9703125,21.4693125,
DNA Anni Farm Pharmacy,5,7,Pharmacy,Bulevar Jane Sandanski 71,annifarm.mk,+389 2 244 5935,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,41.9859375,21.4664375,
Zegin,5,1,Pharmacy,Bulevar Vidoe Smilevski Bato 2a Lokal 5,zegin.com.mk,+389 2 245 8107,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-6PM,Closed,41.9804375,21.4724375,
Eurofarm - SP Planet,,,Pharmacy,Bukureska 8,eurofarm.com.mk,+389 2 203 1508,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-2PM,42.0069375,21.3651875,
Jana,,,Pharmacy,Metodija Andonov - Chento,,+389 2 253 3777,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-5PM,Closed,42.0015625,21.4858125,
Eurofarm,,,Pharmacy,Bulevar Jane Sandanski 70,,,,,,,,,,41.9843125,21.4645625,
Zegin,4.5,2,Pharmacy,Bulevar Jane Sandanski 101,zegin.com.mk,+389 2 244 7722,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-9PM,8AM-9PM,41.9850625,21.4689375,
Vet Svet,5,8,Veterinary pharmacy,MK Nikola Trimpare 27,vetsvet.mk,+389 2 316 1019,,,,,,,,41.9966875,21.4194375,
